"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"189",22,28,23,28,19,22,20,30,27,20,30,20,28,27,26,27,31,23,19,29,26,26,25,23,22,25,25,22,29,29,23,22,27,24,25
"190",19,25,20,21,28,31,21,25,20,22,22,24,20,22,23,23,24,20,26,27,24,21,26,22,28,26,26,29,27,24,25,23,24,25,26
"191",18,21,35,24,27,28,26,24,28,24,25,27,31,25,26,23,26,22,20,24,22,28,26,25,20,24,21,26,26,25,27,24,24,24,21
"192",21,27,25,28,27,18,18,25,25,31,32,29,23,21,23,28,18,20,23,23,25,26,27,27,21,24,21,27,24,25,26,24,24,27,23
"193",16,24,30,22,27,25,23,23,20,26,25,27,15,27,21,24,22,25,21,26,25,28,28,24,25,27,23,27,24,26,24,22,21,22,25
"194",25,23,19,24,33,24,19,25,28,24,27,30,22,24,30,25,21,22,21,23,31,24,24,23,23,25,24,24,26,24,22,23,25,27,23
"195",24,24,21,23,22,22,20,30,21,28,26,24,21,28,26,27,25,22,27,21,24,23,24,26,25,24,23,24,22,24,24,24,26,25,24
"196",33,21,16,22,31,30,24,23,24,28,25,26,22,22,32,21,26,24,28,25,28,28,24,25,22,27,25,24,23,28,26,27,22,23,24
"197",32,30,28,26,27,24,24,28,25,24,30,21,26,28,23,25,24,24,27,27,24,25,24,22,29,24,24,24,25,23,24,25,25,27,26
"198",20,27,22,22,18,23,25,27,19,28,27,28,28,24,28,22,24,22,27,24,23,22,22,22,24,28,22,22,25,26,23,24,24,24,25
"199",31,24,21,29,23,29,24,29,31,27,23,25,22,22,34,21,21,19,22,25,30,24,24,25,25,30,24,26,24,24,26,25,22,23,24
"200",16,29,20,22,23,26,30,27,28,29,23,26,24,19,21,24,25,26,29,25,27,24,27,30,25,21,23,23,23,20,28,27,25,26,23
"201",26,15,22,21,20,25,17,26,24,24,25,22,22,27,24,26,30,22,25,26,23,25,24,30,21,23,25,23,25,28,23,25,24,24,26
"202",29,26,25,19,22,31,23,26,30,25,18,25,24,27,23,25,19,29,25,22,22,27,23,26,22,26,24,27,21,23,25,28,27,25,25
"203",31,23,26,29,26,20,23,27,20,31,22,26,27,24,24,24,26,26,25,28,25,23,25,20,23,24,26,24,23,23,25,26,28,23,29
"204",21,19,20,28,30,19,23,25,23,25,23,26,32,25,28,23,22,27,24,27,23,24,25,22,20,23,25,27,24,30,27,24,24,24,23
"205",16,26,31,31,20,24,29,23,31,29,24,20,24,25,29,24,30,22,25,23,25,25,32,21,22,26,25,27,28,28,27,21,24,25,24
"206",30,26,26,22,25,31,27,21,21,30,27,32,22,25,19,22,23,22,25,27,26,25,28,22,24,24,27,25,26,25,25,26,27,22,23
"207",22,23,22,28,32,21,31,26,29,28,30,26,28,26,24,26,25,23,25,27,24,28,22,22,26,20,24,23,23,25,23,27,23,26,23
"208",34,23,20,21,25,21,29,20,28,21,23,25,24,19,22,27,22,27,26,27,23,27,23,24,20,27,24,26,25,25,22,25,21,24,23
"209",30,21,22,19,28,22,25,32,26,24,23,24,27,22,21,26,26,23,26,24,20,23,27,22,26,28,22,24,25,27,26,23,26,23,25
"210",20,26,30,28,23,23,25,20,22,29,23,25,19,35,22,25,28,24,22,23,21,27,26,29,23,23,25,24,25,25,23,24,27,22,24
"211",27,22,18,31,24,24,24,24,20,25,24,29,15,24,25,25,21,25,25,21,24,22,20,24,28,25,28,26,23,26,25,23,27,23,24
"212",24,20,27,30,28,25,24,23,24,24,28,26,28,28,25,26,26,25,23,26,22,24,25,25,25,31,30,26,27,28,23,24,25,23,24
"213",26,29,20,23,29,28,25,24,34,27,22,30,21,30,22,28,27,23,25,20,26,26,26,29,27,28,23,27,24,24,25,24,24,24,24
"214",29,21,20,23,32,23,33,19,21,31,27,20,25,24,22,23,24,23,23,24,28,25,26,26,17,28,23,26,25,24,25,27,27,26,25
"215",26,29,27,35,26,24,34,32,24,24,28,21,26,16,23,23,24,26,27,24,24,21,20,22,24,26,27,27,27,23,21,24,23,21,24
"216",26,18,18,23,26,27,28,30,31,22,29,22,26,19,26,26,25,21,24,25,25,27,20,27,27,24,25,26,22,29,26,25,25,24,25
"217",17,27,23,23,23,28,31,29,18,26,18,24,27,34,29,29,25,27,26,28,26,24,23,27,26,27,25,23,24,25,24,22,26,25,24
"218",25,24,18,25,19,21,25,28,19,25,29,26,29,24,34,26,22,26,27,26,21,26,22,26,23,28,25,26,23,24,23,23,24,24,24
"219",31,23,23,31,29,30,28,19,26,22,30,21,27,24,30,24,28,19,28,23,25,26,27,23,25,24,20,23,23,22,24,24,28,23,21
"220",24,27,29,20,30,30,28,21,31,14,23,22,34,24,28,28,20,29,23,24,26,26,22,23,27,21,29,26,24,26,25,27,24,25,24
"221",24,30,21,26,20,19,26,23,31,27,25,23,22,20,22,24,22,24,31,27,31,27,25,25,26,26,27,25,26,25,23,24,23,23,25
"222",25,28,21,31,19,26,24,26,30,28,23,28,19,23,26,23,23,24,25,29,23,23,24,22,25,23,27,28,26,26,24,27,24,27,27
"223",22,26,23,27,22,27,29,23,28,24,22,19,25,27,21,29,26,28,23,19,26,26,26,25,26,23,26,24,28,28,23,27,23,23,26
"224",25,24,24,28,19,25,27,25,25,26,28,19,33,30,29,24,25,24,19,30,27,24,24,20,27,23,24,26,25,29,23,24,26,24,26
"225",26,24,25,33,36,27,27,21,23,26,26,26,25,26,28,25,25,28,26,27,26,25,20,26,24,27,25,26,28,25,24,23,26,24,22
"226",26,25,27,25,17,25,28,24,24,28,27,25,22,28,23,29,24,28,21,24,21,31,28,28,25,26,23,22,27,22,24,27,24,21,26
"227",22,27,29,29,29,22,21,27,26,25,25,29,19,24,25,23,25,22,27,20,24,25,26,26,28,24,26,24,23,24,24,22,24,26,23
"228",19,21,23,25,23,24,28,21,21,24,17,28,29,33,28,25,26,21,24,21,24,34,21,23,22,26,22,19,25,25,25,25,25,26,25
"229",22,28,30,25,30,23,18,17,27,32,26,25,28,24,20,27,21,23,25,21,21,30,20,28,24,26,25,26,21,21,24,27,25,24,25
"230",23,29,22,23,28,17,31,32,23,23,27,28,27,24,25,28,26,23,24,26,26,29,24,22,23,28,22,27,22,24,25,26,26,23,23
"231",29,23,36,26,24,30,23,23,25,23,28,26,27,26,22,29,27,27,21,22,29,25,20,22,22,21,28,22,24,25,26,24,21,25,25
"232",28,21,23,24,26,27,29,21,19,20,29,21,24,23,27,29,26,25,23,31,25,23,26,26,26,24,24,22,26,22,27,22,27,27,25
"233",17,25,25,28,25,23,27,26,24,26,25,28,26,29,24,23,27,29,23,27,22,25,28,20,27,22,25,26,25,27,24,24,28,26,25
"234",33,27,27,22,26,27,25,22,29,28,27,19,31,24,25,24,32,22,23,26,26,25,24,25,22,23,20,27,25,24,23,24,23,27,24
"235",19,25,35,23,32,29,22,19,28,23,23,27,24,27,25,21,22,24,25,24,24,28,24,22,26,29,26,27,19,24,25,25,26,28,24
"236",32,23,25,23,22,26,26,25,20,21,24,27,28,27,27,24,26,22,23,26,25,25,24,29,23,20,28,26,23,31,27,27,25,25,25
"237",24,27,28,21,29,25,25,29,25,25,18,22,24,20,26,27,22,25,26,19,26,22,23,27,26,23,23,20,23,26,26,26,26,24,23
"238",20,27,27,29,22,25,24,29,33,28,27,30,25,25,24,20,31,27,24,26,21,26,25,21,24,31,21,26,25,26,25,24,28,24,26
"239",25,21,24,22,25,22,18,20,28,21,22,21,26,27,27,27,27,28,26,21,29,26,24,26,24,25,26,21,27,24,26,25,24,24,28
"240",26,22,28,18,24,19,29,21,25,27,25,25,22,32,23,25,25,23,23,20,27,27,26,22,27,22,24,26,21,25,24,27,23,26,24
"241",25,27,21,21,38,22,24,32,32,26,23,27,28,20,18,26,19,28,23,27,24,25,27,28,19,20,21,24,26,25,26,22,21,24,25
"242",26,28,20,26,24,18,25,17,26,30,25,24,24,18,27,24,23,28,23,24,26,22,23,24,23,26,21,22,28,28,28,25,22,27,23
"243",32,14,27,33,22,25,24,32,24,28,25,25,29,21,26,27,27,17,24,24,26,20,25,24,30,25,25,26,24,20,23,22,22,23,23
"244",26,24,26,30,21,20,22,24,26,23,24,26,27,28,21,23,28,19,26,24,25,30,24,21,23,25,25,26,26,24,27,25,25,24,26
"245",27,22,26,27,29,23,18,25,26,26,25,26,17,24,29,25,24,22,23,22,26,24,22,25,20,24,24,25,25,27,27,24,27,26,24
"246",27,26,29,18,24,18,25,24,25,29,27,20,25,21,27,23,24,28,24,25,20,28,27,25,23,27,29,26,27,25,25,27,27,28,26
"247",24,22,16,21,31,30,27,22,29,25,20,26,24,25,23,28,28,21,27,24,28,23,23,27,26,19,25,22,26,20,22,22,26,26,26
"248",30,22,31,25,22,26,27,29,30,18,27,26,30,23,20,24,24,21,27,23,31,23,26,25,23,24,25,31,27,25,25,22,25,25,24
"249",29,25,20,19,23,32,26,26,17,22,28,23,30,31,29,26,25,20,25,24,28,26,24,21,24,25,27,20,29,24,25,25,21,25,25
"250",21,30,27,22,26,28,23,28,29,22,23,31,28,21,23,23,26,25,22,28,22,26,20,19,26,32,24,23,27,28,24,22,26,25,25
"251",27,31,19,19,30,23,18,16,20,18,26,22,26,25,25,23,26,23,23,27,28,22,24,23,29,24,25,20,24,22,27,25,25,26,25
"252",27,24,28,30,25,26,29,29,23,19,23,29,30,25,18,25,28,27,22,29,20,27,24,26,24,25,26,25,28,27,25,22,27,25,26
"253",28,18,20,25,18,27,30,24,27,33,28,26,24,23,26,25,23,28,23,23,27,26,26,25,27,25,20,25,22,25,24,28,22,24,23
"254",28,18,29,21,31,21,29,28,18,27,29,28,23,28,25,22,23,27,25,27,26,24,21,31,26,26,21,24,25,23,25,23,23,27,26
"255",27,18,29,21,26,26,25,23,28,22,27,22,28,19,20,30,25,27,28,29,29,24,23,24,27,21,26,26,27,29,22,21,24,26,23
"256",27,27,22,22,32,29,24,24,31,26,24,23,22,27,33,21,22,20,22,32,22,24,22,24,23,24,26,22,26,29,27,26,24,23,25
"257",32,28,21,32,24,34,22,31,26,22,21,32,29,25,19,29,26,24,25,20,24,27,23,20,26,29,23,25,23,26,22,25,24,24,24
"258",28,30,31,25,25,22,31,32,18,17,26,24,28,23,26,27,21,22,23,25,24,23,22,23,23,24,25,25,24,26,23,25,26,27,26
"259",24,23,20,25,32,27,24,22,25,18,25,21,20,18,21,24,24,27,27,22,29,25,25,26,21,26,27,26,29,27,23,23,27,24,23
"260",20,28,31,22,19,38,19,28,34,23,30,22,27,29,23,25,27,24,22,27,22,22,24,28,23,23,23,25,23,22,23,21,26,24,23
"261",35,24,19,26,19,27,20,29,25,27,24,24,21,27,22,21,31,32,21,18,26,29,24,26,24,22,23,27,23,22,21,25,27,23,25
"262",29,20,36,24,26,20,25,29,23,35,22,28,31,27,23,24,19,26,21,23,27,24,21,26,28,23,25,24,19,26,27,26,24,25,25
"263",31,12,22,25,31,16,26,26,34,27,26,24,26,30,26,22,23,20,23,25,28,22,24,25,26,26,27,31,22,26,25,25,23,25,22
"264",24,26,22,21,19,20,21,23,25,21,27,28,22,25,26,27,24,21,26,22,22,25,27,25,23,22,22,26,22,25,21,26,27,25,26
"265",33,30,22,22,18,31,30,21,19,26,25,25,26,25,29,19,22,27,28,22,25,25,24,23,24,26,25,24,21,24,24,25,25,23,23
"266",26,22,28,27,25,21,24,30,30,23,26,22,30,25,22,28,24,29,26,26,21,24,24,23,25,27,26,20,19,28,27,28,25,24,25
"267",30,25,28,18,15,26,22,29,22,27,21,26,23,31,24,25,24,28,23,22,27,24,27,29,22,25,23,21,25,25,24,25,26,26,25
"268",21,35,24,23,23,26,15,29,32,30,22,21,26,25,24,22,27,25,27,23,23,23,23,25,26,25,29,26,22,25,23,25,23,24,23
"269",26,24,27,26,27,24,24,28,27,22,23,23,29,25,28,23,33,25,20,26,23,26,20,22,25,26,23,22,25,27,26,26,27,27,30
"270",26,28,32,21,23,22,23,25,24,26,24,24,22,26,29,28,22,28,22,22,30,27,26,25,23,23,29,26,23,23,23,25,23,26,24
"271",22,21,26,26,19,20,29,23,23,27,17,24,21,30,19,23,20,26,26,32,29,24,23,27,24,24,27,23,28,29,27,24,27,26,27
"272",22,31,24,32,27,22,26,21,31,19,27,22,27,18,24,27,22,24,28,32,27,28,22,24,27,23,26,25,26,24,27,25,26,25,23
"273",30,25,23,30,24,26,28,28,22,26,20,25,22,21,28,27,25,23,22,24,24,25,25,27,26,19,24,23,24,25,24,26,25,24,23
"274",20,27,34,29,23,22,27,31,23,25,24,25,25,26,22,25,23,28,29,23,29,27,26,21,23,27,31,19,24,23,23,27,26,25,24
"275",32,31,19,30,24,27,21,28,28,21,32,23,23,28,29,23,19,19,29,28,28,26,27,26,29,25,24,28,26,22,22,26,27,25,26
"276",22,21,32,27,23,30,24,20,20,26,25,22,27,26,25,24,22,21,26,18,23,29,21,25,27,24,24,18,19,24,26,27,25,24,24
"277",27,21,28,18,19,26,27,33,23,24,24,26,22,29,27,29,24,26,32,25,27,25,27,21,27,24,26,26,24,24,23,26,23,25,25
"278",18,16,18,30,24,21,24,22,22,25,23,23,25,23,33,27,26,23,27,26,25,24,25,26,25,23,28,23,23,23,26,25,26,24,27
"279",21,22,23,37,23,22,24,24,23,29,24,20,20,24,23,19,26,25,21,25,21,23,23,19,29,27,29,23,25,27,26,27,22,27,27
"280",24,23,27,21,24,22,29,30,28,24,27,24,26,30,23,23,19,27,23,28,31,27,27,24,24,21,24,22,24,26,25,23,24,26,25
"281",24,27,21,25,30,24,25,26,25,22,28,26,23,28,26,23,32,22,21,20,27,22,26,27,26,26,22,21,22,24,25,26,27,23,25
"282",22,28,29,18,26,17,18,18,26,32,26,21,22,21,29,21,22,29,28,27,25,25,25,24,21,27,26,21,23,21,26,25,25,23,25
"283",30,21,23,23,23,28,24,31,28,25,29,24,26,24,23,26,21,25,19,31,25,25,19,23,22,23,22,29,25,26,23,27,25,22,26
"284",24,27,17,29,28,24,27,31,30,25,23,25,18,28,20,26,21,25,29,29,28,23,26,27,27,26,24,27,21,27,25,24,26,27,26
"285",31,24,25,24,27,26,28,28,29,21,25,27,17,25,19,24,23,23,23,23,27,23,28,27,26,28,29,21,20,21,24,29,24,22,23
"286",37,20,26,30,15,28,23,25,24,30,18,20,30,21,28,25,26,23,22,28,23,19,27,26,23,23,23,24,28,24,24,26,23,24,28
"287",18,23,27,26,25,21,19,24,28,31,26,26,23,30,22,25,28,20,23,18,22,24,24,22,27,25,27,25,25,23,26,25,24,27,25
"288",20,20,22,24,21,27,18,28,23,27,25,26,33,28,27,26,32,27,19,28,26,25,23,24,27,24,28,23,22,25,25,25,24,21,27
"289",25,32,21,28,35,24,34,31,26,26,30,23,26,27,28,25,23,24,32,24,23,21,29,26,23,22,24,28,25,26,25,22,23,22,27
"290",30,21,28,22,20,26,27,20,23,33,25,23,27,19,25,23,19,23,32,23,25,27,26,20,22,23,22,22,23,23,22,28,23,22,23
"291",27,24,26,27,21,19,22,24,28,36,18,25,28,18,25,28,28,25,26,18,23,25,25,25,25,25,25,22,24,21,24,23,25,24,27
"292",32,31,27,23,27,27,19,29,21,30,25,24,22,20,24,21,23,22,27,29,20,25,24,23,23,24,29,22,25,26,23,25,23,25,25
"293",33,23,36,24,27,27,26,25,26,27,26,25,24,18,25,25,27,21,24,28,26,21,23,23,22,23,25,22,27,27,25,24,23,26,26
"294",22,23,21,28,29,27,20,23,22,28,27,16,19,23,26,32,25,22,25,24,22,27,24,28,22,25,26,24,21,25,24,25,23,24,24
"295",24,25,24,19,25,29,23,30,22,21,27,27,24,20,22,23,23,22,23,25,21,25,25,24,23,26,27,26,24,26,26,26,26,23,27
"296",21,30,26,21,36,18,28,28,26,26,27,26,20,21,20,21,28,23,24,27,26,23,26,23,26,26,22,21,27,29,26,27,26,24,24
"297",19,29,23,20,22,23,19,26,17,23,29,30,21,24,26,23,22,22,27,20,25,25,25,23,28,24,25,22,26,24,21,24,27,26,25
"298",26,29,25,27,22,28,17,23,24,27,20,20,30,25,23,29,24,20,22,26,26,24,25,26,23,23,28,22,26,24,24,25,26,24,24
"299",37,23,20,21,23,29,24,29,24,27,24,23,26,26,25,22,23,21,30,25,25,22,23,25,23,29,24,24,26,23,28,23,26,22,21
"300",26,24,17,20,26,31,22,22,21,24,16,24,20,22,24,25,28,24,21,21,23,25,20,24,24,22,27,25,22,27,25,29,28,24,25
"301",29,17,20,25,24,30,22,22,32,21,33,22,19,19,27,22,26,24,26,20,26,24,23,28,21,28,23,24,27,23,26,25,23,26,27
"302",26,20,17,32,25,24,22,28,33,26,32,24,25,28,28,21,25,26,23,32,27,31,22,23,25,25,25,27,26,24,24,26,24,24,24
"303",24,33,23,22,22,27,22,22,27,23,23,23,24,28,25,26,24,21,25,29,28,22,31,23,22,26,26,27,26,23,27,26,23,23,23
"304",31,26,26,21,18,25,23,27,23,22,23,25,23,25,25,22,22,21,24,24,21,26,23,21,25,30,24,21,20,29,24,27,24,26,23
"305",27,24,30,29,21,24,27,26,22,24,30,22,22,17,24,24,25,26,32,29,25,25,27,26,28,29,26,23,28,27,24,23,24,24,26
"306",21,28,26,26,28,22,31,23,27,28,21,24,26,26,30,21,26,28,25,22,28,24,25,21,24,25,21,26,25,24,23,23,26,24,23
"307",29,29,27,27,17,25,19,28,23,27,23,30,23,24,21,27,29,23,25,25,27,24,26,25,24,25,25,24,23,22,28,21,25,23,25
"308",22,26,27,21,21,25,27,26,32,28,25,27,26,21,25,22,25,28,24,25,28,24,27,23,24,24,23,22,29,27,22,23,25,25,25
"309",24,24,25,20,19,18,24,29,26,32,31,23,21,22,30,26,28,24,24,31,25,24,28,25,26,24,22,26,27,20,22,25,23,24,22
"310",24,31,18,22,25,22,26,24,27,18,26,20,23,26,21,24,26,28,25,30,26,22,21,23,21,27,23,23,23,25,24,26,23,25,24
"311",14,32,23,27,23,22,26,20,26,25,22,22,26,27,31,25,29,26,20,29,26,24,26,22,22,28,23,22,26,27,24,22,25,22,25
"312",21,23,24,17,19,25,22,31,20,29,24,26,21,18,22,23,26,23,24,19,26,19,26,24,23,23,24,25,26,22,28,22,27,25,25
"313",18,37,27,29,26,21,29,24,15,22,28,27,28,25,28,26,23,21,21,23,21,27,29,29,22,21,24,30,27,27,25,27,23,23,23
"314",17,18,19,22,23,24,28,24,23,22,21,30,20,23,27,24,21,24,23,25,25,26,26,23,28,20,29,22,25,23,22,26,24,23,25
"315",24,22,27,30,25,30,24,30,26,24,25,25,21,24,26,29,26,23,23,19,26,24,24,27,24,26,25,21,25,21,28,26,24,25,25
"316",28,31,25,30,25,18,29,27,22,21,27,23,25,30,21,22,27,27,21,26,30,30,27,22,24,26,24,26,24,28,25,29,28,26,23
"317",17,22,20,23,32,27,23,28,23,28,27,21,23,26,22,24,19,22,24,27,22,23,25,28,24,24,27,23,24,26,26,22,25,24,26
"318",25,28,22,22,26,32,18,22,27,21,29,31,30,26,22,20,26,22,26,22,26,25,25,26,23,24,26,24,25,24,25,25,27,25,25
"319",20,26,27,11,28,19,21,19,22,27,20,23,20,30,23,26,25,25,22,20,24,22,21,22,28,24,24,26,23,22,25,27,24,22,25
"320",22,18,25,29,24,24,20,27,21,26,24,27,19,22,30,20,27,25,30,26,25,27,20,28,22,26,26,26,22,23,22,24,28,25,24
"321",19,28,29,25,34,26,18,30,27,32,27,29,25,27,22,20,27,26,30,23,24,27,27,26,20,25,26,27,27,23,22,24,27,26,26
"322",26,22,24,23,26,26,28,24,28,19,19,21,20,26,30,21,30,26,29,25,21,27,26,25,22,26,21,26,24,25,26,25,25,25,26
"323",24,20,26,25,17,17,31,21,25,27,20,27,31,26,21,27,29,29,32,21,22,28,23,24,25,28,21,23,22,24,25,24,22,27,25
"324",22,24,14,23,25,28,32,24,25,29,23,21,23,24,14,22,29,23,30,22,21,25,21,26,19,24,23,24,22,26,23,26,25,26,25
"325",23,29,26,28,28,25,24,24,28,26,22,18,23,26,23,28,21,22,24,30,23,24,20,26,26,25,26,26,21,23,26,26,22,23,24
"326",34,30,29,30,31,23,23,30,23,28,20,17,32,25,26,24,26,31,23,22,29,24,26,27,21,24,18,22,25,24,22,20,25,23,23
"327",20,23,29,24,25,27,22,23,35,22,22,26,23,29,20,25,25,24,28,26,21,25,27,26,22,23,26,26,24,26,23,25,26,25,27
"328",31,20,24,27,24,39,29,33,27,36,23,23,23,26,29,23,24,25,25,27,23,25,24,24,24,23,25,27,25,25,25,23,23,24,24
"329",23,28,24,30,34,15,30,28,29,21,33,35,21,28,22,25,27,23,27,23,18,24,22,27,27,26,24,24,24,24,23,27,22,23,23
"330",25,27,19,20,20,26,21,23,23,35,22,28,20,21,28,21,24,26,24,25,26,22,24,25,25,29,28,27,25,23,25,26,27,24,27
"331",25,21,23,28,21,22,22,20,23,22,24,28,26,26,26,23,23,25,25,28,26,25,23,27,27,23,23,23,23,25,25,23,24,24,23
"332",26,26,35,29,29,29,30,23,19,34,28,23,23,24,26,26,26,26,25,28,28,26,24,23,27,26,26,26,25,26,25,24,22,26,24
"333",22,20,27,33,21,27,20,26,31,34,30,28,22,23,24,24,25,22,23,23,26,25,29,23,30,26,27,29,21,28,27,28,24,25,24
"334",18,21,25,34,27,24,18,24,26,23,19,24,21,23,27,25,24,24,17,27,24,23,23,27,25,22,26,24,27,25,24,26,26,23,26
"335",26,23,23,32,24,30,28,21,25,24,23,22,17,22,26,22,25,26,26,27,23,29,25,25,23,24,27,24,24,27,20,25,25,22,25
"336",23,25,24,28,23,27,24,27,25,26,28,29,29,17,24,24,22,26,28,27,25,27,29,30,22,23,22,24,27,24,23,24,27,25,24
"337",22,27,20,26,22,19,20,28,34,27,30,26,24,14,23,20,25,24,22,24,21,25,24,26,26,24,25,28,24,25,24,24,23,21,27
"338",26,26,22,27,21,21,21,25,30,27,27,26,21,23,24,22,26,29,27,22,19,23,33,27,24,23,26,25,23,23,25,23,24,27,22
"339",26,26,20,28,31,20,22,28,26,20,26,23,28,20,25,23,22,15,25,25,24,23,25,29,25,25,25,27,24,25,26,22,21,25,22
"340",25,22,29,29,26,31,29,26,22,22,31,28,24,29,26,26,25,30,25,23,27,26,27,26,24,25,23,24,23,25,27,22,22,24,25
"341",24,14,30,27,22,19,30,24,28,28,23,24,23,22,25,28,28,27,27,26,29,27,24,24,26,26,25,27,24,27,25,21,22,26,24
"342",33,27,29,21,30,31,16,22,27,25,25,29,19,23,24,27,23,24,25,23,23,21,22,23,23,21,25,24,25,28,25,27,24,27,25
"343",22,24,25,29,26,27,19,27,28,22,26,25,25,23,20,25,21,25,27,26,27,24,22,24,22,25,24,24,27,24,25,23,23,24,25
"344",19,18,28,25,27,23,28,21,29,23,21,22,27,29,21,28,32,26,28,25,24,25,22,24,25,25,21,28,21,25,24,26,26,25,28
"345",20,26,23,31,31,31,24,24,23,25,24,32,20,20,21,25,29,28,25,25,23,27,22,26,26,21,24,30,24,27,25,23,22,26,22
"346",22,25,18,32,25,23,17,26,25,23,26,30,22,22,21,24,27,29,22,26,25,26,26,25,25,25,25,22,24,22,25,23,23,25,26
"347",27,30,24,23,27,24,24,30,23,24,18,22,20,25,27,25,26,22,25,22,21,20,31,28,27,28,20,24,23,28,27,27,22,24,24
"348",23,31,22,31,20,23,25,31,20,23,26,18,24,24,23,26,23,25,22,24,21,24,23,29,24,28,23,25,26,27,23,28,24,21,27
"349",22,17,34,23,24,20,24,31,25,23,29,27,26,34,22,27,29,27,29,26,23,23,25,29,23,29,23,24,22,24,27,25,24,29,24
"350",24,26,23,27,25,30,22,28,23,23,24,28,32,21,25,27,24,25,26,19,28,24,23,24,24,22,28,19,24,25,26,25,27,25,27
"351",27,26,22,30,27,25,24,18,22,29,24,21,20,27,25,23,24,26,31,27,23,22,20,30,26,24,22,22,21,23,25,24,25,26,21
"352",26,27,21,26,26,33,32,32,24,29,23,21,31,22,19,27,25,29,20,28,25,24,27,22,25,28,27,29,25,26,28,25,22,25,24
"353",19,25,23,22,21,21,26,26,24,27,24,25,24,27,23,28,27,32,25,26,22,25,24,29,27,26,22,24,27,25,24,24,24,26,24
"354",29,17,29,26,25,22,23,26,25,28,24,29,24,25,28,25,24,26,25,25,21,26,24,25,28,27,28,27,27,24,23,27,25,27,27
"355",30,24,24,23,34,27,30,23,25,18,23,28,24,27,30,24,21,25,25,24,22,23,23,21,32,23,21,25,23,22,27,23,27,25,25
"356",27,26,19,29,19,19,22,28,26,22,27,17,20,24,24,24,25,23,27,25,25,20,26,25,23,25,25,24,22,22,26,24,24,23,25
"357",37,35,26,27,33,30,29,28,29,24,17,25,22,29,27,19,21,27,23,29,24,20,24,31,24,26,23,28,24,22,22,23,24,22,25
"358",27,28,21,28,28,27,33,21,31,23,20,28,23,22,28,26,24,23,25,21,24,27,23,25,26,28,24,24,25,25,22,22,26,27,24
"359",35,18,21,22,28,20,29,19,27,26,29,20,19,27,27,29,27,23,29,27,27,26,26,26,25,28,25,20,26,25,25,23,24,24,23
"360",23,19,23,25,21,24,22,26,30,21,28,29,25,25,21,20,23,22,25,30,28,23,22,21,26,21,21,27,28,29,26,25,20,22,22
"361",28,19,23,20,22,27,28,20,26,33,24,24,26,21,25,24,23,27,25,25,27,29,26,31,23,24,22,27,28,27,25,26,27,25,24
"362",26,25,29,27,27,25,28,28,24,22,24,26,18,29,20,23,24,21,20,25,25,23,25,19,21,25,19,23,23,26,25,25,23,26,26
"363",28,19,26,32,25,24,20,23,25,31,21,26,22,25,22,24,25,21,27,26,27,29,21,28,27,25,27,21,26,23,22,25,26,23,22
"364",27,17,22,21,25,21,29,27,22,24,25,25,23,25,21,24,28,25,25,23,24,23,29,21,25,26,23,28,26,23,24,22,23,26,26
"365",21,28,27,33,26,29,26,20,23,23,32,26,31,27,19,20,28,23,24,26,22,26,28,21,20,25,27,24,20,25,24,26,23,23,22
"366",26,25,25,21,33,21,23,32,21,29,26,17,27,21,22,26,27,26,25,27,24,26,26,24,25,25,22,20,27,21,22,26,22,24,24
"367",28,19,22,26,17,20,26,21,25,30,25,18,29,28,32,25,21,26,28,27,24,23,26,25,23,21,24,23,22,24,26,22,24,27,27
"368",23,26,28,34,20,30,32,32,21,23,19,34,29,23,24,26,27,24,25,19,26,24,29,26,21,21,26,24,27,21,22,25,22,23,22
"369",20,17,24,35,25,26,36,25,22,25,23,27,26,26,23,27,32,23,27,28,20,22,27,25,26,23,25,23,24,26,24,27,22,26,24
"370",22,24,20,15,32,33,19,27,29,21,22,26,22,26,28,27,29,28,23,25,28,23,26,27,27,26,23,28,27,24,23,28,26,23,22
"371",29,26,25,22,23,20,17,26,16,31,23,24,27,31,21,25,22,24,23,30,25,25,26,25,18,23,23,26,26,23,24,27,23,25,25
"372",24,36,28,22,22,21,25,31,32,22,21,30,22,24,21,26,22,26,23,25,25,25,31,25,26,20,22,22,27,23,24,23,25,25,27
"373",30,20,24,24,25,26,22,22,28,23,25,23,23,22,23,26,22,24,22,27,28,25,26,23,22,25,21,28,21,25,25,23,23,24,24
"374",26,21,22,20,20,22,22,27,25,21,24,20,25,20,21,26,25,29,28,26,23,30,26,21,31,22,22,24,22,27,25,25,24,22,26
"375",26,24,21,25,22,26,25,37,26,24,25,31,19,18,23,24,23,30,26,21,26,24,27,21,27,25,22,25,23,24,24,24,24,27,25
"376",30,19,30,19,24,25,22,29,28,21,29,28,23,26,26,30,27,21,27,28,29,23,25,26,21,26,25,22,24,25,25,25,25,26,25
"377",24,21,25,23,24,29,25,32,22,22,27,21,29,19,27,31,33,23,21,27,24,24,24,24,25,24,26,25,27,27,25,25,24,27,25
"378",26,30,26,26,25,29,24,23,19,26,29,22,29,25,27,20,25,23,27,23,29,30,23,24,26,26,23,27,24,26,24,24,23,24,24
